Date,Open,High,Low,Close,Adj_Close,Volume,Accumulation_Distribution_Line,On_Balance_Volume,Average_Directional_Index,Aroon_Oscillator,MACD,RSI,Stochastic_Oscillator,Simple_Moving_Average,Exponential_Moving_Average,Williams_%R
2014-07-28,24.455,24.809999,24.387501,24.754999,21.926371,221272000,2449493490.3188667,2430587600,28.180752757467257,88.0,0.38387280348958086,70.5992899885681,96.70164719738963,23.55605773076923,23.63411464387362,-3.2983528026103537
2014-07-29,24.8325,24.860001,24.5625,24.594999,21.784645,172572000,2314625010.1591377,2258015600,29.27100390679424,92.0,0.40146719261522534,66.76404445092237,84.5704893330485,23.62788457692308,23.705291262845943,-15.429510666951503
2014-07-30,24.610001,24.674999,24.4175,24.5375,21.733725,132040000,2305651895.8557825,2125975600,29.687642811692115,92.0,0.40609003090323625,65.38929210930016,81.22266013236681,23.69826919230769,23.766936354486987,-18.777339867633184
2014-07-31,24.290001,24.362499,23.8325,23.9,21.169064,227372000,2136195514.5644963,1898603600,28.128302100882458,92.0,0.3542294052781365,52.48529984771412,44.10477781381201,23.74942303846154,23.776792920821283,-55.89522218618799
2014-08-01,23.725,24.155001,23.702499,24.032499,21.286428,194044000,2225175766.39101,2092647600,26.325630529091665,88.0,0.3201307794433319,54.49527658887197,51.819416699029695,23.80490376923077,23.79573411187156,-48.180583300970305
2014-08-04,24.092501,24.145,23.7925,23.897499,21.166847,159832000,2160561923.3725696,1932815600,24.651721212428786,84.0,0.2789978870719807,52.07801679979948,43.959159266865086,23.849999884615382,23.803272251732928,-56.040840733134914
2014-08-05,23.84,23.92,23.59,23.780001,21.062775,223732000,2194462067.2028694,1709083600,23.248747757141068,80.0,0.23421873906512047,49.99923357808904,37.11794054268379,23.880192192307693,23.801548455308264,-62.88205945731621
2014-08-06,23.6875,23.870001,23.6775,23.74,21.027344,154232000,2140380196.293108,1554851600,21.945986691516758,32.0,0.19327523861455376,49.278070444425644,30.218093186176542,23.899711423076926,23.796989310470614,-69.78190681382345
2014-08-07,23.7325,23.987499,23.525,23.620001,21.025124,186844000,2030294705.3666408,1368007600,21.162737725760813,32.0,0.14942186089842124,47.08407522669506,13.286773925332826,23.90894226923077,23.78387906525057,-86.71322607466718
2014-08-08,23.565001,23.705,23.32,23.684999,21.082985,167460000,2180355393.8861237,1535467600,20.965747142857243,32.0,0.11854601384562713,48.423567857176316,23.701218375832283,23.921057576923076,23.77655461597275,-76.29878162416772
2014-08-11,23.817499,24.02,23.709999,23.997499,21.361151,146340000,2305451615.059605,1681807600,19.757150438680167,32.0,0.11793335858950016,54.40013991256387,43.99341299129032,23.93990369230769,23.792920866641435,-56.00658700870968
2014-08-12,24.01,24.219999,23.9025,23.9925,21.356701,135180000,2246909336.7532163,1546627600,18.626042478092323,31.999999999999996,0.11571060750746653,54.29175905692725,43.668802812465664,23.93990369230769,23.807704506149477,-56.331197187534336
2014-08-13,24.0375,24.309999,24.01,24.309999,21.639322,127664000,2374573336.7532163,1674291600,17.82128162864751,32.00000000000001,0.13797805201576097,59.773391213193406,64.28560760674836,23.95807673076923,23.84491150569396,-35.714392393251636
2014-08-14,24.3325,24.3925,24.200001,24.375,21.697178,112464000,2466589230.5292897,1786755600,17.29976424326674,32.0,0.15903692105199596,60.80962363122811,68.50644902178632,23.978365192307688,23.884177320086998,-31.493550978213676
2014-08-15,24.475,24.547501,24.215,24.495001,21.804003,195804000,2600560574.3869,1982559600,17.22820594037258,32.0,0.1832963777493113,62.71895513794488,76.29871668914488,24.006634461538457,23.92942351859907,-23.701283310855118
